Row,C11,C21,C31,C41,C51,C61,C22,C32,C42,C52,C62,C33,C43,C53,C63,C44,C54,C64,C55,C65,C66
006_057,0.192124,0.097194,0.097190,-0.000054,0.000068,-0.000025,0.192133,0.097203,-0.000069,0.000010,-0.000036,0.192106,0.000050,-0.000030,-0.000024,0.082175,-0.000070,0.000076,0.082161,0.000080,0.082161
006_058,0.194404,0.098199,0.098196,-0.000039,0.000076,0.000020,0.194544,0.098248,-0.000047,-0.000010,-0.000038,0.194552,0.000055,-0.000021,0.000032,0.083035,-0.000034,0.000054,0.083055,0.000051,0.083017
006_059,0.198875,0.099785,0.099758,0.000071,0.000218,-0.000097,0.199039,0.099799,0.000057,0.000093,-0.000190,0.198886,0.000175,0.000093,-0.000079,0.084454,-0.000221,0.000237,0.084441,0.000214,0.084416
006_060,0.201252,0.100631,0.100604,0.000094,0.000211,-0.000137,0.201365,0.100624,0.000087,0.000134,-0.000213,0.201143,0.000175,0.000129,-0.000120,0.085338,-0.000250,0.000233,0.085303,0.000213,0.085297
006_061,0.202720,0.101243,0.101219,0.000121,0.000283,-0.000171,0.202862,0.101254,0.000116,0.000158,-0.000267,0.202653,0.000237,0.000165,-0.000158,0.085871,-0.000323,0.000315,0.085853,0.000288,0.085831
006_062,0.206443,0.102562,0.102545,0.000110,0.000340,-0.000155,0.206574,0.102586,0.000121,0.000164,-0.000320,0.206470,0.000307,0.000166,-0.000147,0.087354,-0.000342,0.000340,0.087343,0.000331,0.087334
006_063,0.209412,0.103685,0.103702,0.000107,0.000274,-0.000111,0.209519,0.103717,0.000113,0.000113,-0.000277,0.209504,0.000278,0.000123,-0.000101,0.088417,-0.000258,0.000248,0.088440,0.000269,0.088432
006_064,0.212526,0.104714,0.104760,0.000175,0.000267,-0.000199,0.212586,0.104748,0.000180,0.000173,-0.000293,0.212627,0.000300,0.000177,-0.000193,0.089498,-0.000288,0.000255,0.089522,0.000290,0.089524
006_065,0.216317,0.106130,0.106091,0.000121,0.000216,-0.000164,0.216556,0.106151,0.000136,0.000135,-0.000260,0.216401,0.000231,0.000125,-0.000166,0.090904,-0.000254,0.000203,0.090926,0.000221,0.090864
006_066,0.218975,0.107046,0.106994,0.000149,0.000157,-0.000184,0.219236,0.107067,0.000157,0.000162,-0.000197,0.219057,0.000164,0.000161,-0.000190,0.091813,-0.000249,0.000204,0.091834,0.000215,0.091767
006_067,0.221981,0.108238,0.108234,0.000133,0.000124,-0.000129,0.222234,0.108272,0.000128,0.000124,-0.000148,0.222217,0.000147,0.000133,-0.000140,0.092957,-0.000190,0.000158,0.092989,0.000187,0.092948
006_068,0.224307,0.109073,0.109061,0.000082,0.000091,-0.000075,0.224563,0.109098,0.000069,0.000076,-0.000100,0.224540,0.000101,0.000087,-0.000082,0.093851,-0.000131,0.000110,0.093881,0.000128,0.093839
006_069,0.227986,0.110277,0.110262,0.000023,0.000083,-0.000001,0.228322,0.110313,0.000014,-0.000002,-0.000092,0.228255,0.000096,0.000017,-0.000010,0.095036,-0.000075,0.000058,0.095080,0.000080,0.095033
006_070,0.231144,0.111352,0.111360,0.000083,0.000181,-0.000059,0.231418,0.111376,0.000082,0.000072,-0.000174,0.231477,0.000190,0.000074,-0.000065,0.096078,-0.000119,0.000113,0.096115,0.000137,0.096080
006_071,0.235793,0.112855,0.112869,0.000001,0.000044,-0.000004,0.235980,0.112888,-0.000001,-0.000005,-0.000049,0.236047,0.000085,0.000016,-0.000005,0.097603,-0.000021,-0.000000,0.097640,0.000045,0.097616
006_072,0.240317,0.114491,0.114511,0.000059,-0.000023,-0.000065,0.240596,0.114584,0.000057,0.000062,0.000020,0.240644,-0.000011,0.000084,-0.000070,0.099042,0.000014,-0.000030,0.099100,-0.000006,0.099049
